# Time-averaged data for fix myat1
# TimeStep v_delta_r
100 11.9734
200 12.4281
300 13.4769
400 14.1345
500 14.8119
600 14.7962
700 14.5902
800 14.6417
900 14.9411
1000 15.6316
1100 15.945
1200 15.8294
1300 15.59
1400 15.1
1500 14.719
1600 14.5062
1700 14.3644
1800 14.1366
1900 13.4952
2000 12.8725
2100 12.487
2200 12.472
2300 12.4418
2400 12.161
2500 11.7881
2600 11.3613
2700 11.0334
2800 11.2407
2900 11.7522
3000 12.0895
3100 12.1011
3200 12.0061
3300 12.4683
3400 12.6535
3500 12.2949
3600 12.0704
3700 11.5292
3800 11.6393
3900 11.2182
4000 11.3717
4100 11.9886
4200 12.6497
4300 12.4058
4400 11.8942
4500 11.0865
4600 10.4347
4700 10.8389
4800 11.332
4900 11.3278
5000 11.0103
5100 11.4551
5200 11.8166
5300 11.4804
5400 10.7915
5500 10.4204
5600 10.0398
5700 9.79367
5800 9.62997
5900 9.20412
6000 8.57476
6100 8.14686
6200 8.29963
6300 8.33166
6400 7.78607
6500 7.32725
6600 7.75099
6700 7.95182
6800 8.04211
6900 8.29256
7000 8.35386
7100 7.9477
7200 7.59028
7300 7.24208
7400 7.10812
7500 7.09361
7600 6.78564
7700 6.62796
7800 6.76655
7900 6.53247
8000 6.08008
8100 5.56436
8200 5.28846
8300 5.30421
8400 5.27384
8500 5.41071
8600 5.44928
8700 5.32109
8800 4.78944
8900 4.24012
9000 3.39377
9100 3.34612
9200 3.45004
9300 3.7666
9400 3.63785
9500 3.48673
9600 3.81424
9700 4.3185
9800 4.9043
9900 5.02666
10000 5.00249
10100 4.97446
10200 5.20529
10300 5.59597
10400 6.16935
10500 6.7258
10600 7.52032
10700 8.21281
10800 8.57947
10900 8.42201
11000 7.97379
11100 7.65874
11200 8.07493
11300 8.30722
11400 8.11554
11500 8.44855
11600 8.47307
11700 8.50864
11800 8.60419
11900 8.68751
12000 8.41503
12100 8.28608
12200 8.33203
12300 7.89934
12400 7.48175
12500 7.62578
12600 7.79072
12700 7.91489
12800 8.2571
12900 8.53915
13000 8.63913
13100 8.43806
13200 8.17269
13300 8.02142
13400 8.05635
13500 8.66902
13600 9.2933
13700 9.33037
13800 8.99353
13900 8.41852
14000 7.81594
14100 7.40322
14200 7.79437
14300 8.75685
14400 9.38619
14500 9.75694
14600 10.0814
14700 10.4066
