# Chunk-averaged data for fix myac2 and group gNa
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
100000 400 10.000000000000002
  1 -39.9 0 0
  2 -39.7 0 0
  3 -39.5 0 0
  4 -39.3 0 0
  5 -39.1 0 0
  6 -38.9 0 0
  7 -38.7 0 0
  8 -38.5 0 0
  9 -38.3 0 0
  10 -38.1 0 0
  11 -37.9 0 0
  12 -37.7 0 0
  13 -37.5 0 0
  14 -37.3 0 0
  15 -37.1 0 0
  16 -36.9 0 0
  17 -36.7 0 0
  18 -36.5 0 0
  19 -36.3 0 0
  20 -36.1 0 0
  21 -35.9 0 0
  22 -35.7 0 0
  23 -35.5 0 0
  24 -35.3 0 0
  25 -35.1 0 0
  26 -34.9 0 0
  27 -34.7 0 0
  28 -34.5 0 0
  29 -34.3 0 0
  30 -34.1 0 0
  31 -33.9 0 0
  32 -33.7 0 0
  33 -33.5 0 0
  34 -33.3 0 0
  35 -33.1 0 0
  36 -32.9 0 0
  37 -32.7 0 0
  38 -32.5 0 0
  39 -32.3 0 0
  40 -32.1 0 0
  41 -31.9 0 0
  42 -31.7 0 0
  43 -31.5 0 0
  44 -31.3 0 0
  45 -31.1 0 0
  46 -30.9 0 0
  47 -30.7 0 0
  48 -30.5 0 0
  49 -30.3 0 0
  50 -30.1 0 0
  51 -29.9 0 0
  52 -29.7 0 0
  53 -29.5 0 0
  54 -29.3 0 0
  55 -29.1 0 0
  56 -28.9 0 0
  57 -28.7 0 0
  58 -28.5 0 0
  59 -28.3 0 0
  60 -28.1 0 0
  61 -27.9 0 0
  62 -27.7 0 0
  63 -27.5 0 0
  64 -27.3 0 0
  65 -27.1 0 0
  66 -26.9 0 0
  67 -26.7 0 0
  68 -26.5 0 0
  69 -26.3 0 0
  70 -26.1 0 0
  71 -25.9 0 0
  72 -25.7 0 0
  73 -25.5 0 0
  74 -25.3 0 0
  75 -25.1 0 0
  76 -24.9 0 0
  77 -24.7 0 0
  78 -24.5 0 0
  79 -24.3 0 0
  80 -24.1 0 0
  81 -23.9 0 0
  82 -23.7 0 0
  83 -23.5 0 0
  84 -23.3 0 0
  85 -23.1 0 0
  86 -22.9 0 0
  87 -22.7 0 0
  88 -22.5 0 0
  89 -22.3 0 0
  90 -22.1 0 0
  91 -21.9 0 0
  92 -21.7 0 0
  93 -21.5 0 0
  94 -21.3 0 0
  95 -21.1 0 0
  96 -20.9 0 0
  97 -20.7 0 0
  98 -20.5 0 0
  99 -20.3 0 0
  100 -20.1 0 0
  101 -19.9 0 0
  102 -19.7 0 0
  103 -19.5 0 0
  104 -19.3 0 0
  105 -19.1 0 0
  106 -18.9 0 0
  107 -18.7 0 0
  108 -18.5 0 0
  109 -18.3 0 0
  110 -18.1 0 0
  111 -17.9 0 0
  112 -17.7 0 0
  113 -17.5 0 0
  114 -17.3 0 0
  115 -17.1 0 0
  116 -16.9 0 0
  117 -16.7 0 0
  118 -16.5 0 0
  119 -16.3 0 0
  120 -16.1 0.0004 9.21689e-05
  121 -15.9 0.0118 0.00271898
  122 -15.7 0.1058 0.0243787
  123 -15.5 0.3238 0.0746108
  124 -15.3 0.5289 0.12187
  125 -15.1 0.5511 0.126986
  126 -14.9 0.3013 0.0694262
  127 -14.7 0.1255 0.028918
  128 -14.5 0.0494 0.0113829
  129 -14.3 0.0385 0.00887126
  130 -14.1 0.0415 0.00956253
  131 -13.9 0.0555 0.0127884
  132 -13.7 0.055 0.0126732
  133 -13.5 0.0377 0.00868692
  134 -13.3 0.0208 0.00479278
  135 -13.1 0.0146 0.00336417
  136 -12.9 0.0054 0.00124428
  137 -12.7 0.007 0.00161296
  138 -12.5 0.0099 0.00228118
  139 -12.3 0.0195 0.00449324
  140 -12.1 0.0266 0.00612923
  141 -11.9 0.0868 0.0200007
  142 -11.7 0.139 0.0320287
  143 -11.5 0.1705 0.039287
  144 -11.3 0.1183 0.027259
  145 -11.1 0.0766 0.0176504
  146 -10.9 0.0415 0.00956253
  147 -10.7 0.0226 0.00520754
  148 -10.5 0.0099 0.00228118
  149 -10.3 0.003 0.000691267
  150 -10.1 0.0012 0.000276507
  151 -9.9 0.0006 0.000138253
  152 -9.7 0 0
  153 -9.5 0 0
  154 -9.3 0 0
  155 -9.1 0 0
  156 -8.9 0 0
  157 -8.7 0 0
  158 -8.5 0 0
  159 -8.3 0 0
  160 -8.1 0 0
  161 -7.9 0 0
  162 -7.7 0 0
  163 -7.5 0 0
  164 -7.3 0 0
  165 -7.1 0 0
  166 -6.9 0 0
  167 -6.7 0 0
  168 -6.5 0 0
  169 -6.3 0 0
  170 -6.1 0 0
  171 -5.9 0 0
  172 -5.7 0 0
  173 -5.5 0 0
  174 -5.3 0 0
  175 -5.1 0 0
  176 -4.9 0 0
  177 -4.7 0.0023 0.000529971
  178 -4.5 0.0037 0.000852563
  179 -4.3 0.0075 0.00172817
  180 -4.1 0.0074 0.00170513
  181 -3.9 0.0133 0.00306462
  182 -3.7 0.0168 0.0038711
  183 -3.5 0.011 0.00253465
  184 -3.3 0.0173 0.00398631
  185 -3.1 0.021 0.00483887
  186 -2.9 0.0179 0.00412456
  187 -2.7 0.0208 0.00479278
  188 -2.5 0.0229 0.00527667
  189 -2.3 0.0215 0.00495408
  190 -2.1 0.0442 0.0101847
  191 -1.9 0.0492 0.0113368
  192 -1.7 0.053 0.0122124
  193 -1.5 0.0354 0.00815695
  194 -1.3 0.0311 0.00716613
  195 -1.1 0.0393 0.0090556
  196 -0.9 0.0505 0.0116363
  197 -0.7 0.0695 0.0160144
  198 -0.5 0.0834 0.0192172
  199 -0.3 0.074 0.0170513
  200 -0.1 0.0601 0.0138484
  201 0.1 0.0448 0.0103229
  202 0.3 0.0471 0.0108529
  203 0.5 0.0411 0.00947036
  204 0.7 0.0481 0.0110833
  205 0.9 0.048 0.0110603
  206 1.1 0.0532 0.0122585
  207 1.3 0.0683 0.0157378
  208 1.5 0.0603 0.0138945
  209 1.7 0.0637 0.0146779
  210 1.9 0.0488 0.0112446
  211 2.1 0.0527 0.0121433
  212 2.3 0.0377 0.00868692
  213 2.5 0.0417 0.00960861
  214 2.7 0.0438 0.0100925
  215 2.9 0.0466 0.0107377
  216 3.1 0.0427 0.00983903
  217 3.3 0.028 0.00645183
  218 3.5 0.0199 0.0045854
  219 3.7 0.0233 0.00536884
  220 3.9 0.0271 0.00624445
  221 4.1 0.0205 0.00472366
  222 4.3 0.0309 0.00712005
  223 4.5 0.0273 0.00629053
  224 4.7 0.0316 0.00728135
  225 4.9 0.0417 0.00960861
  226 5.1 0.0302 0.00695875
  227 5.3 0.0254 0.00585273
  228 5.5 0.0284 0.00654399
  229 5.7 0.0258 0.0059449
  230 5.9 0.0147 0.00338721
  231 6.1 0.018 0.0041476
  232 6.3 0.0141 0.00324895
  233 6.5 0.0129 0.00297245
  234 6.7 0.0102 0.00235031
  235 6.9 0.012 0.00276507
  236 7.1 0.0182 0.00419369
  237 7.3 0.0117 0.00269594
  238 7.5 0.0162 0.00373284
  239 7.7 0.0251 0.0057836
  240 7.9 0.0502 0.0115672
  241 8.1 0.0758 0.017466
  242 8.3 0.1048 0.0241483
  243 8.5 0.1185 0.027305
  244 8.7 0.1231 0.028365
  245 8.9 0.1406 0.0323974
  246 9.1 0.1443 0.0332499
  247 9.3 0.1141 0.0262912
  248 9.5 0.0795 0.0183186
  249 9.7 0.0856 0.0197242
  250 9.9 0.0876 0.020185
  251 10.1 0.0769 0.0177195
  252 10.3 0.0977 0.0225123
  253 10.5 0.0999 0.0230192
  254 10.7 0.1291 0.0297475
  255 10.9 0.2004 0.0461766
  256 11.1 0.3134 0.0722144
  257 11.3 0.3386 0.078021
  258 11.5 0.319 0.0735047
  259 11.7 0.2331 0.0537114
  260 11.9 0.1375 0.0316831
  261 12.1 0.0641 0.0147701
  262 12.3 0.031 0.00714309
  263 12.5 0.0187 0.0043089
  264 12.7 0.0158 0.00364067
  265 12.9 0.0225 0.0051845
  266 13.1 0.0262 0.00603707
  267 13.3 0.0255 0.00587577
  268 13.5 0.0162 0.00373284
  269 13.7 0.013 0.00299549
  270 13.9 0.0241 0.00555318
  271 14.1 0.0217 0.00500016
  272 14.3 0.0201 0.00463149
  273 14.5 0.0664 0.0153
  274 14.7 0.1662 0.0382962
  275 14.9 0.3232 0.0744725
