# Time-averaged data for fix at1
# TimeStep c_Tmid
6000 301.204
7000 301.602
8000 301.618
9000 301.193
10000 300.624
11000 300.419
12000 300.978
13000 300.615
14000 299.573
15000 300.421
16000 301.498
17000 300.963
18000 300.932
19000 300.954
20000 300.927
21000 301.129
22000 300.437
23000 300.648
24000 301.203
25000 300.554
26000 301.241
27000 300.337
28000 299.971
29000 300.922
30000 299.717
31000 300.002
32000 300.209
33000 298.945
34000 298.376
35000 299.32
36000 299.422
37000 299.356
38000 298.484
39000 298.85
40000 298.736
41000 298.053
42000 298.567
43000 297.41
44000 297.912
45000 296.514
46000 297.151
47000 297.95
48000 296.469
49000 296.558
50000 295.751
51000 295.124
52000 295.651
53000 295.139
54000 294.331
55000 294.696
56000 293.934
57000 294.6
58000 293.244
59000 293.164
60000 293.109
61000 293.402
62000 293.603
63000 291.984
64000 290.969
65000 291.712
66000 290.986
67000 291.635
68000 290.868
69000 289.851
70000 290.374
71000 289.588
72000 290.181
73000 289.314
74000 289.129
75000 288.63
76000 288.02
77000 288.059
78000 286.492
79000 285.956
80000 287.196
81000 286.637
82000 286.678
83000 285.095
84000 285.33
85000 285.626
86000 283.238
87000 284.139
88000 283.335
89000 283.82
90000 283.083
91000 282.211
92000 281.222
93000 281.852
94000 280.845
95000 280.491
96000 279.915
97000 279.655
98000 279.628
99000 278.071
100000 277.598
101000 277.824
102000 277.448
103000 277.174
104000 275.736
105000 275.556
