# Time-averaged data for fix at2
# TimeStep f_mysf1[1] f_mysf2[1]
1000 0.00923169 -0.0314825
2000 -0.034737 0.0561647
3000 0.00624332 -0.0545592
4000 -0.0657768 0.0292298
5000 0.0724207 -0.0137931
6000 0.030133 0.00680027
7000 -0.0352327 0.0215874
8000 -0.00230524 -0.0165509
9000 0.0324625 0.00735387
10000 -0.0141423 0.00163355
11000 -0.0658169 -0.0166466
12000 0.110055 -0.0450386
13000 0.0238146 0.00762623
14000 -0.0624322 0.0400843
15000 0.0350207 0.0201884
16000 -0.026362 -0.110153
17000 -0.00461145 0.106855
18000 -0.0475265 0.0262529
19000 0.0535408 -0.0504298
20000 -0.0151797 0.0499343
21000 0.0232258 -0.0971215
22000 -0.0365622 0.00479516
23000 -0.0508254 0.0410841
24000 0.0516628 0.042545
25000 0.0153676 -0.0323736
26000 0.0280036 -0.0455566
27000 -0.0278436 0.0460051
28000 0.0170562 -0.0134304
29000 -0.0263265 0.0344065
30000 -0.0585216 0.00674315
31000 0.0639962 0.019685
32000 -0.0410793 -0.0254517
33000 0.0107325 -0.0144648
34000 0.0111341 -0.0402786
35000 0.0331943 -0.00619936
36000 -0.00469789 0.00476194
37000 0.0160013 0.0151025
38000 0.0177884 0.024228
39000 -0.0124132 0.0854975
40000 -0.0419994 -0.1549
41000 0.036215 0.139142
42000 -0.057474 -0.0598327
43000 0.0329794 0.00551305
44000 -0.0548268 -0.0414072
45000 0.0444547 0.0635491
46000 0.0507165 -0.107408
47000 -0.0717096 0.078004
48000 0.0221216 -0.0428794
49000 -0.0455082 -0.0229384
50000 0.0460285 0.033145
51000 -0.00556566 0.0319336
52000 0.00240433 0.0582399
53000 0.028259 -0.0811448
54000 -0.043435 -0.00196782
55000 0.0376169 0.0212198
56000 -0.0232731 -0.0489612
57000 -0.0242835 0.0128914
58000 0.0326405 0.0589666
59000 -0.054444 0.0169686
60000 0.100989 -0.0195393
61000 0.0107951 -0.000929684
62000 -0.0794252 -0.0690221
63000 0.0206759 0.0687053
64000 -0.0172441 -0.00863643
65000 -0.0145744 -0.0457823
66000 0.0520058 0.051945
67000 -0.0193385 -0.0200466
68000 0.039529 0.0286202
69000 -0.0093569 -0.0837068
70000 -0.0258665 0.0826634
71000 0.0434613 -0.0431766
72000 -0.0606263 -0.0274402
73000 0.0452839 0.0255183
74000 -0.0646692 0.035792
75000 0.0860931 -0.101886
76000 -0.0335463 0.0323361
77000 -0.0458955 -0.0110312
78000 0.0281838 0.0184614
79000 -0.0130815 0.0198813
80000 -0.00266682 -0.0218047
81000 0.0204422 0.0266974
82000 0.0203974 0.035325
83000 0.0114861 0.00697517
84000 -0.0694885 -0.00986808
85000 -0.0262793 -0.0183576
86000 0.0877036 0.00870468
87000 -0.0731412 -0.0460259
88000 0.00466006 0.02062
89000 0.013634 0.00987843
90000 -0.00751093 0.0625737
91000 0.00447912 0.00469831
92000 -0.0463398 -0.0321196
93000 0.0311521 -0.0363916
94000 0.0244448 0.0295295
95000 0.0110317 0.0107514
96000 0.030967 -0.0059104
97000 -0.0914157 -0.0418267
98000 0.0560625 0.0212901
99000 -0.00283514 0.0194273
100000 -0.0498777 -0.00485223
101000 0.0402851 -0.0142285
102000 -0.0266631 -0.0251064
103000 -0.000983228 -0.0397771
104000 0.0110806 -0.0244873
105000 -0.0311137 0.054642
