# Time-averaged data for fix myat1
# TimeStep v_delta_r
100 11.7906
200 11.9258
300 12.051
400 11.833
500 11.9574
600 12.4769
700 12.2641
800 12.006
900 11.5034
1000 11.3669
1100 11.3484
1200 11.2219
1300 11.1051
1400 10.6407
1500 10.4782
1600 10.7573
1700 10.6497
1800 10.9307
1900 11.3407
2000 10.776
2100 9.50586
2200 8.77808
2300 8.63543
2400 8.91833
2500 8.54697
2600 8.46895
2700 8.40388
2800 8.60741
2900 8.61253
3000 8.7941
3100 9.22425
3200 9.05219
3300 9.25621
3400 9.12498
3500 8.9019
3600 8.86302
3700 8.98246
3800 8.95337
3900 9.00344
4000 8.82269
4100 9.30056
4200 9.51031
4300 9.62991
4400 9.71498
4500 10.2476
4600 10.5903
4700 10.8121
4800 11.1204
4900 11.6705
5000 12.1467
5100 12.3853
5200 12.4223
5300 12.3298
5400 12.2687
5500 11.9633
5600 11.3635
5700 11.1045
5800 11.3402
5900 11.509
6000 11.5404
6100 11.5008
6200 11.3229
6300 11.3295
6400 11.662
6500 11.6422
6600 11.753
6700 11.7529
6800 11.5135
6900 11.3144
7000 11.4731
7100 11.8506
7200 11.7156
7300 10.8754
7400 11.0317
7500 10.9864
7600 11.0024
7700 11.223
7800 11.0827
7900 10.869
8000 10.9763
8100 11.0481
8200 10.8663
8300 11.0064
8400 10.7174
8500 10.2959
8600 10.2543
8700 10.2058
8800 10.5505
8900 11.0296
9000 11.0946
9100 11.2026
9200 10.835
9300 10.5814
9400 10.5999
9500 10.3598
9600 9.92482
9700 10.2211
9800 10.9177
9900 11.0914
10000 11.255
10100 11.0264
10200 10.3943
10300 10.1017
10400 9.94154
10500 9.9619
10600 10.0086
10700 10.2616
10800 10.2312
10900 10.1036
11000 10.3153
11100 10.805
11200 10.906
11300 10.8814
11400 10.4454
11500 10.1697
11600 9.97264
11700 9.94156
11800 10.0797
11900 10.2153
12000 10.0447
12100 10.0324
12200 10.1687
12300 10.3642
12400 10.7598
12500 10.6029
12600 10.6577
12700 10.486
12800 10.205
12900 10.1777
13000 10.6598
13100 10.7407
13200 10.3757
13300 10.2353
13400 10.3105
13500 10.7394
13600 10.9043
13700 10.9718
13800 10.9006
13900 10.8956
14000 10.7377
14100 10.6095
14200 10.1596
14300 10.0156
14400 9.94231
14500 10.3611
14600 10.738
14700 11.0736
14800 10.6837
14900 10.842
15000 11.3549
15100 11.3339
15200 11.3466
15300 11.1087
15400 10.7306
15500 10.6009
15600 10.5238
15700 10.2204
15800 10.2185
15900 10.0528
16000 9.72134
16100 10.1245
16200 9.83887
16300 9.58484
16400 10.1954
16500 10.6339
16600 10.6627
16700 10.2367
