# Chunk-averaged data for fix myac3 and group gCl
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
100000 400 10
  1 -39.9 0 0
  2 -39.7 0 0
  3 -39.5 0 0
  4 -39.3 0 0
  5 -39.1 0 0
  6 -38.9 0 0
  7 -38.7 0 0
  8 -38.5 0 0
  9 -38.3 0 0
  10 -38.1 0 0
  11 -37.9 0 0
  12 -37.7 0 0
  13 -37.5 0 0
  14 -37.3 0 0
  15 -37.1 0 0
  16 -36.9 0 0
  17 -36.7 0 0
  18 -36.5 0 0
  19 -36.3 0 0
  20 -36.1 0 0
  21 -35.9 0 0
  22 -35.7 0 0
  23 -35.5 0 0
  24 -35.3 0 0
  25 -35.1 0 0
  26 -34.9 0 0
  27 -34.7 0 0
  28 -34.5 0 0
  29 -34.3 0 0
  30 -34.1 0 0
  31 -33.9 0 0
  32 -33.7 0 0
  33 -33.5 0 0
  34 -33.3 0 0
  35 -33.1 0 0
  36 -32.9 0 0
  37 -32.7 0 0
  38 -32.5 0 0
  39 -32.3 0 0
  40 -32.1 0 0
  41 -31.9 0 0
  42 -31.7 0 0
  43 -31.5 0 0
  44 -31.3 0 0
  45 -31.1 0 0
  46 -30.9 0 0
  47 -30.7 0 0
  48 -30.5 0 0
  49 -30.3 0 0
  50 -30.1 0 0
  51 -29.9 0 0
  52 -29.7 0 0
  53 -29.5 0 0
  54 -29.3 0 0
  55 -29.1 0 0
  56 -28.9 0 0
  57 -28.7 0 0
  58 -28.5 0 0
  59 -28.3 0 0
  60 -28.1 0 0
  61 -27.9 0 0
  62 -27.7 0 0
  63 -27.5 0 0
  64 -27.3 0 0
  65 -27.1 0 0
  66 -26.9 0 0
  67 -26.7 0 0
  68 -26.5 0 0
  69 -26.3 0 0
  70 -26.1 0 0
  71 -25.9 0 0
  72 -25.7 0 0
  73 -25.5 0 0
  74 -25.3 0 0
  75 -25.1 0 0
  76 -24.9 0 0
  77 -24.7 0 0
  78 -24.5 0 0
  79 -24.3 0 0
  80 -24.1 0 0
  81 -23.9 0 0
  82 -23.7 0 0
  83 -23.5 0 0
  84 -23.3 0 0
  85 -23.1 0 0
  86 -22.9 0 0
  87 -22.7 0 0
  88 -22.5 0 0
  89 -22.3 0 0
  90 -22.1 0 0
  91 -21.9 0 0
  92 -21.7 0 0
  93 -21.5 0 0
  94 -21.3 0 0
  95 -21.1 0 0
  96 -20.9 0 0
  97 -20.7 0 0
  98 -20.5 0 0
  99 -20.3 0 0
  100 -20.1 0 0
  101 -19.9 0 0
  102 -19.7 0 0
  103 -19.5 0 0
  104 -19.3 0 0
  105 -19.1 0 0
  106 -18.9 0 0
  107 -18.7 0 0
  108 -18.5 0 0
  109 -18.3 0 0
  110 -18.1 0 0
  111 -17.9 0 0
  112 -17.7 0 0
  113 -17.5 0 0
  114 -17.3 0 0
  115 -17.1 0 0
  116 -16.9 0 0
  117 -16.7 0 0
  118 -16.5 0 0
  119 -16.3 0 0
  120 -16.1 0 0
  121 -15.9 0 0
  122 -15.7 0 0
  123 -15.5 0 0
  124 -15.3 0 0
  125 -15.1 0 0
  126 -14.9 0 0
  127 -14.7 0 0
  128 -14.5 0 0
  129 -14.3 0 0
  130 -14.1 0 0
  131 -13.9 0 0
  132 -13.7 0.0007 0.000197255
  133 -13.5 0.0197 0.00555131
  134 -13.3 0.1117 0.0314762
  135 -13.1 0.2451 0.0690673
  136 -12.9 0.3296 0.0928788
  137 -12.7 0.3779 0.106489
  138 -12.5 0.2514 0.0708426
  139 -12.3 0.1456 0.041029
  140 -12.1 0.0792 0.022318
  141 -11.9 0.0377 0.0106236
  142 -11.7 0.0297 0.00836924
  143 -11.5 0.0307 0.00865103
  144 -11.3 0.0259 0.00729842
  145 -11.1 0.0245 0.00690391
  146 -10.9 0.0363 0.0102291
  147 -10.7 0.0492 0.0138642
  148 -10.5 0.0593 0.0167103
  149 -10.3 0.0526 0.0148223
  150 -10.1 0.0569 0.016034
  151 -9.9 0.045 0.0126807
  152 -9.7 0.0448 0.0126243
  153 -9.5 0.038 0.0107081
  154 -9.3 0.0302 0.00851013
  155 -9.1 0.0438 0.0123425
  156 -8.9 0.0352 0.00991909
  157 -8.7 0.0346 0.00975002
  158 -8.5 0.0283 0.00797473
  159 -8.3 0.0178 0.00501591
  160 -8.1 0.0284 0.00800291
  161 -7.9 0.0255 0.00718571
  162 -7.7 0.0193 0.00543859
  163 -7.5 0.0197 0.00555131
  164 -7.3 0.0194 0.00546677
  165 -7.1 0.0101 0.0028461
  166 -6.9 0.0099 0.00278975
  167 -6.7 0.0176 0.00495955
  168 -6.5 0.0247 0.00696027
  169 -6.3 0.0205 0.00577675
  170 -6.1 0.0291 0.00820016
  171 -5.9 0.0098 0.00276157
  172 -5.7 0.006 0.00169075
  173 -5.5 0.0062 0.00174711
  174 -5.3 0.0084 0.00236706
  175 -5.1 0.0081 0.00228252
  176 -4.9 0.0038 0.00107081
  177 -4.7 0.0119 0.00335333
  178 -4.5 0.0184 0.00518498
  179 -4.3 0.0168 0.00473411
  180 -4.1 0.0226 0.00636851
  181 -3.9 0.0241 0.0067912
  182 -3.7 0.0244 0.00687574
  183 -3.5 0.0255 0.00718571
  184 -3.3 0.0153 0.00431142
  185 -3.1 0.0148 0.00417053
  186 -2.9 0.0208 0.00586128
  187 -2.7 0.0211 0.00594582
  188 -2.5 0.033 0.00929915
  189 -2.3 0.0446 0.0125679
  190 -2.1 0.0447 0.0125961
  191 -1.9 0.0472 0.0133006
  192 -1.7 0.0394 0.0111026
  193 -1.5 0.0366 0.0103136
  194 -1.3 0.0367 0.0103418
  195 -1.1 0.0327 0.00921461
  196 -0.9 0.0434 0.0122298
  197 -0.7 0.0374 0.010539
  198 -0.5 0.0345 0.00972184
  199 -0.3 0.0447 0.0125961
  200 -0.1 0.0389 0.0109617
  201 0.1 0.0536 0.0151041
  202 0.3 0.053 0.014935
  203 0.5 0.0542 0.0152732
  204 0.7 0.0296 0.00834106
  205 0.9 0.0315 0.00887646
  206 1.1 0.0389 0.0109617
  207 1.3 0.0402 0.0113281
  208 1.5 0.0351 0.00989091
  209 1.7 0.034 0.00958094
  210 1.9 0.0317 0.00893282
  211 2.1 0.0327 0.00921461
  212 2.3 0.0428 0.0120607
  213 2.5 0.0471 0.0132724
  214 2.7 0.0443 0.0124834
  215 2.9 0.0586 0.016513
  216 3.1 0.064 0.0180347
  217 3.3 0.0783 0.0220643
  218 3.5 0.0611 0.0172175
  219 3.7 0.0716 0.0201763
  220 3.9 0.059 0.0166258
  221 4.1 0.0444 0.0125116
  222 4.3 0.0494 0.0139205
  223 4.5 0.0462 0.0130188
  224 4.7 0.0344 0.00969366
  225 4.9 0.0364 0.0102572
  226 5.1 0.0276 0.00777747
  227 5.3 0.0445 0.0125398
  228 5.5 0.0344 0.00969366
  229 5.7 0.0375 0.0105672
  230 5.9 0.0345 0.00972184
  231 6.1 0.0525 0.0147941
  232 6.3 0.0541 0.015245
  233 6.5 0.0878 0.0247414
  234 6.7 0.0907 0.0255586
  235 6.9 0.0835 0.0235297
  236 7.1 0.0707 0.0199227
  237 7.3 0.0542 0.0152732
  238 7.5 0.0394 0.0111026
  239 7.7 0.0671 0.0189083
  240 7.9 0.0792 0.022318
  241 8.1 0.0725 0.02043
  242 8.3 0.0839 0.0236424
  243 8.5 0.0772 0.0217544
  244 8.7 0.0632 0.0178093
  245 8.9 0.0902 0.0254177
  246 9.1 0.1184 0.0333642
  247 9.3 0.1151 0.0324343
  248 9.5 0.1138 0.032068
  249 9.7 0.0976 0.0275029
  250 9.9 0.0965 0.027193
  251 10.1 0.1188 0.0334769
  252 10.3 0.1204 0.0339278
  253 10.5 0.1315 0.0370557
  254 10.7 0.1268 0.0357313
  255 10.9 0.1088 0.030659
  256 11.1 0.0895 0.0252204
  257 11.3 0.0769 0.0216698
  258 11.5 0.0708 0.0199509
  259 11.7 0.0805 0.0226843
  260 11.9 0.1305 0.0367739
  261 12.1 0.2075 0.0584719
  262 12.3 0.3606 0.101614
  263 12.5 0.6446 0.181643
  264 12.7 0.6221 0.175303
  265 12.9 0.4978 0.140276
  266 13.1 0.2741 0.0772393
  267 13.3 0.0926 0.026094
  268 13.5 0.0106 0.002987
  269 13.7 0 0
  270 13.9 0 0
  271 14.1 0 0
  272 14.3 0 0
