# Chunk-averaged data for fix myac1 and group gliquid
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx
200000 80 3668
  1 -39.5 0 0
  2 -38.5 0 0
  3 -37.5 0 0
  4 -36.5 0 0
  5 -35.5 0 0
  6 -34.5 0 0
  7 -33.5 0 0
  8 -32.5 0 0
  9 -31.5 0 0
  10 -30.5 0 0
  11 -29.5 0 0
  12 -28.5 0 0
  13 -27.5 0 0
  14 -26.5 0 0
  15 -25.5 0 0
  16 -24.5 0 0
  17 -23.5 0 0
  18 -22.5 0 0
  19 -21.5 0 0
  20 -20.5 0 0
  21 -19.5 0 0
  22 -18.5 0 0
  23 -17.5 0 0
  24 -16.5 4.32293 -3.47017e-05
  25 -15.5 315.127 2.09285e-06
  26 -14.5 65.276 -5.89554e-06
  27 -13.5 46.3964 1.40214e-05
  28 -12.5 184.255 1.03402e-05
  29 -11.5 89.8835 2.34078e-05
  30 -10.5 86.8801 1.78714e-05
  31 -9.5 114.864 3.27315e-05
  32 -8.5 107.231 2.7025e-05
  33 -7.5 97.0899 3.97532e-05
  34 -6.5 104.454 4.79979e-05
  35 -5.5 104.052 4.81978e-05
  36 -4.5 102.501 5.08405e-05
  37 -3.5 102.3 4.98746e-05
  38 -2.5 102.93 5.60145e-05
  39 -1.5 102.281 5.75008e-05
  40 -0.5 101.829 7.62934e-05
  41 0.5 101.712 7.2241e-05
  42 1.5 103.377 4.73381e-05
  43 2.5 104.664 4.12205e-05
  44 3.5 99.185 5.11122e-05
  45 4.5 101.744 6.15377e-05
  46 5.5 106.659 7.20385e-05
  47 6.5 103.774 4.39291e-05
  48 7.5 95.2189 3.85636e-05
  49 8.5 106.759 5.29266e-05
  50 9.5 117.098 4.33137e-05
  51 10.5 88.4771 3.93657e-05
  52 11.5 88.8083 2.80931e-05
  53 12.5 182.472 2.17456e-05
  54 13.5 53.4592 1.29033e-06
  55 14.5 61.8177 2.97753e-06
  56 15.5 316.713 1.65336e-06
  57 16.5 4.3908 -8.72832e-05
  58 17.5 0 0
  59 18.5 0 0
  60 19.5 0 0
  61 20.5 0 0
  62 21.5 0 0
  63 22.5 0 0
  64 23.5 0 0
  65 24.5 0 0
  66 25.5 0 0
  67 26.5 0 0
  68 27.5 0 0
  69 28.5 0 0
  70 29.5 0 0
  71 30.5 0 0
  72 31.5 0 0
  73 32.5 0 0
  74 33.5 0 0
  75 34.5 0 0
  76 35.5 0 0
  77 36.5 0 0
  78 37.5 0 0
  79 38.5 0 0
  80 39.5 0 0
