# Time-averaged data for fix myat2
# TimeStep v_kinetic_energy
1000 1.49309
2000 1.49501
3000 1.50045
4000 1.49358
5000 1.48952
6000 1.48922
7000 1.49849
8000 1.51151
9000 1.5059
10000 1.50667
11000 1.50636
12000 1.51239
13000 1.51064
14000 1.4979
15000 1.50003
16000 1.50611
17000 1.50842
18000 1.5142
19000 1.52042
20000 1.51686
21000 1.50798
22000 1.50497
23000 1.51268
24000 1.5074
25000 1.50392
26000 1.50138
27000 1.48782
28000 1.48947
29000 1.49668
30000 1.49402
31000 1.49731
32000 1.50627
33000 1.49681
34000 1.50848
35000 1.49834
36000 1.50135
37000 1.51457
38000 1.50836
39000 1.51505
40000 1.50949
41000 1.50138
42000 1.50478
43000 1.50736
44000 1.51526
45000 1.50716
46000 1.51449
47000 1.52187
48000 1.51874
49000 1.49642
50000 1.50025
51000 1.50163
52000 1.50328
53000 1.50595
54000 1.51376
55000 1.52064
56000 1.51344
57000 1.50864
58000 1.51215
59000 1.51004
60000 1.50931
61000 1.50452
62000 1.50995
63000 1.50669
64000 1.51122
65000 1.5162
66000 1.51018
67000 1.50803
68000 1.50959
69000 1.51735
70000 1.5121
71000 1.51681
72000 1.52965
73000 1.52653
74000 1.52272
75000 1.50995
76000 1.51703
77000 1.5212
78000 1.53004
79000 1.52726
80000 1.5074
81000 1.50711
82000 1.51004
83000 1.51416
84000 1.49854
85000 1.49863
86000 1.50202
87000 1.49371
88000 1.49616
89000 1.49674
90000 1.49131
91000 1.49554
92000 1.49375
93000 1.50244
94000 1.50295
95000 1.4887
96000 1.4871
97000 1.49385
98000 1.49277
99000 1.50029
100000 1.49384
101000 1.50132
102000 1.49857
103000 1.50039
104000 1.49886
105000 1.50451
106000 1.50945
107000 1.50875
108000 1.51021
109000 1.50992
110000 1.51358
111000 1.51682
112000 1.51657
113000 1.52166
114000 1.51609
115000 1.51188
116000 1.51214
117000 1.51178
118000 1.50472
119000 1.51604
120000 1.51609
121000 1.51065
122000 1.51125
123000 1.50989
124000 1.51519
125000 1.51489
126000 1.51576
127000 1.51643
128000 1.51035
129000 1.51224
130000 1.50497
131000 1.51351
132000 1.50742
133000 1.51009
134000 1.50883
135000 1.5004
136000 1.50473
137000 1.50291
138000 1.5056
139000 1.50882
140000 1.49752
141000 1.49842
142000 1.50165
143000 1.50127
144000 1.50141
145000 1.50664
146000 1.50764
147000 1.50447
148000 1.50721
149000 1.50729
150000 1.51152
151000 1.49492
152000 1.49345
153000 1.50733
154000 1.51377
155000 1.50575
156000 1.5007
157000 1.49966
158000 1.51196
159000 1.51359
160000 1.51024
161000 1.50694
162000 1.50376
163000 1.50812
164000 1.51265
165000 1.51107
166000 1.5102
167000 1.51139
168000 1.51088
169000 1.50806
170000 1.50529
171000 1.50858
172000 1.50763
173000 1.50718
174000 1.50811
175000 1.50297
176000 1.49987
177000 1.49475
178000 1.496
179000 1.49876
180000 1.50554
181000 1.50245
182000 1.50542
183000 1.51578
184000 1.51986
185000 1.51627
186000 1.51559
187000 1.51468
188000 1.50179
189000 1.49983
190000 1.49347
191000 1.50282
192000 1.51195
193000 1.5042
194000 1.50831
195000 1.48925
196000 1.49632
197000 1.4993
198000 1.49888
199000 1.49197
200000 1.49467
201000 1.50386
202000 1.50164
203000 1.50228
204000 1.49328
205000 1.48332
206000 1.49314
207000 1.49331
208000 1.49759
209000 1.50006
210000 1.50214
211000 1.49621
212000 1.50097
213000 1.49339
214000 1.50876
215000 1.49333
216000 1.50605
217000 1.49838
218000 1.49439
219000 1.49344
220000 1.48429
221000 1.49631
222000 1.49844
223000 1.4976
224000 1.50326
225000 1.4962
226000 1.49286
227000 1.49424
228000 1.50055
229000 1.5024
230000 1.50196
231000 1.5005
232000 1.4989
233000 1.50217
234000 1.50635
235000 1.50897
236000 1.51789
237000 1.51429
238000 1.5039
239000 1.50917
240000 1.50146
241000 1.4919
242000 1.49888
243000 1.50136
244000 1.50243
245000 1.50389
246000 1.49289
247000 1.48998
248000 1.49376
249000 1.49511
250000 1.49784
251000 1.49079
252000 1.48262
253000 1.48957
254000 1.4965
255000 1.50408
256000 1.51081
257000 1.50599
258000 1.50484
259000 1.51319
260000 1.51346
261000 1.50418
262000 1.50434
263000 1.49737
264000 1.49824
265000 1.49835
266000 1.51004
267000 1.50959
268000 1.51
269000 1.50728
270000 1.51496
271000 1.51687
272000 1.50221
273000 1.50358
274000 1.50664
275000 1.51064
276000 1.51043
277000 1.50564
278000 1.50763
279000 1.49804
280000 1.5047
281000 1.50365
282000 1.50146
283000 1.4967
284000 1.50164
285000 1.50188
286000 1.4979
287000 1.49947
288000 1.51201
289000 1.51408
290000 1.50488
291000 1.50125
292000 1.50219
293000 1.50232
294000 1.52237
295000 1.51144
296000 1.50928
297000 1.5053
298000 1.5098
299000 1.5051
300000 1.51075
301000 1.51576
302000 1.52356
303000 1.521
304000 1.51033
305000 1.51306
306000 1.51777
307000 1.51517
308000 1.50769
309000 1.51279
310000 1.50634
311000 1.50876
312000 1.5051
313000 1.50449
314000 1.49995
315000 1.50922
316000 1.51284
317000 1.50846
318000 1.5034
319000 1.49349
320000 1.49718
321000 1.49792
322000 1.50887
323000 1.50509
324000 1.50448
325000 1.5012
326000 1.49765
327000 1.50666
328000 1.50785
329000 1.50135
330000 1.50865
331000 1.51198
332000 1.51094
333000 1.51244
334000 1.51243
335000 1.50959
336000 1.51413
337000 1.51656
338000 1.51467
339000 1.51746
340000 1.5158
341000 1.51411
342000 1.50961
343000 1.51044
344000 1.51486
345000 1.51178
346000 1.50452
347000 1.50132
348000 1.50348
349000 1.49403
350000 1.49611
351000 1.50425
352000 1.49856
353000 1.50073
354000 1.50349
355000 1.49691
356000 1.50417
357000 1.51039
358000 1.51098
359000 1.51043
360000 1.50114
361000 1.50861
362000 1.50784
363000 1.50421
364000 1.50801
365000 1.50854
366000 1.50729
367000 1.49872
368000 1.49918
369000 1.50548
370000 1.49331
371000 1.49298
372000 1.49953
373000 1.50044
374000 1.50487
375000 1.49883
376000 1.49483
377000 1.50128
378000 1.50952
379000 1.50028
380000 1.50198
381000 1.5005
382000 1.49376
383000 1.49771
384000 1.49905
385000 1.50969
386000 1.50978
387000 1.49671
388000 1.5073
389000 1.5041
390000 1.49597
391000 1.49221
392000 1.49393
393000 1.48799
394000 1.50067
395000 1.50218
396000 1.50047
397000 1.50243
398000 1.50533
399000 1.49742
400000 1.50155
401000 1.49629
402000 1.49733
403000 1.50781
404000 1.50726
405000 1.50906
406000 1.50142
407000 1.50703
408000 1.50113
409000 1.50247
410000 1.50046
411000 1.50138
412000 1.50817
413000 1.50494
414000 1.51089
415000 1.49806
416000 1.50351
