# Time-averaged data for fix myat3
# TimeStep v_potential_energy
1000 -0.216613
2000 -0.217783
3000 -0.223955
4000 -0.216292
5000 -0.21
6000 -0.210856
7000 -0.221636
8000 -0.235852
9000 -0.228787
10000 -0.229054
11000 -0.228308
12000 -0.239017
13000 -0.237137
14000 -0.22242
15000 -0.221212
16000 -0.230286
17000 -0.233726
18000 -0.241466
19000 -0.243739
20000 -0.239392
21000 -0.231329
22000 -0.227951
23000 -0.236391
24000 -0.23179
25000 -0.227895
26000 -0.223867
27000 -0.209145
28000 -0.209916
29000 -0.218439
30000 -0.215917
31000 -0.220884
32000 -0.229661
33000 -0.220721
34000 -0.233919
35000 -0.223016
36000 -0.229204
37000 -0.241487
38000 -0.234767
39000 -0.239942
40000 -0.233389
41000 -0.224044
42000 -0.225659
43000 -0.230433
44000 -0.240374
45000 -0.23247
46000 -0.240696
47000 -0.245324
48000 -0.240415
49000 -0.217254
50000 -0.219006
51000 -0.220745
52000 -0.224864
53000 -0.227354
54000 -0.23547
55000 -0.24234
56000 -0.233344
57000 -0.226899
58000 -0.231216
59000 -0.229317
60000 -0.229851
61000 -0.225279
62000 -0.230242
63000 -0.229641
64000 -0.234894
65000 -0.23919
66000 -0.232882
67000 -0.227637
68000 -0.231596
69000 -0.241243
70000 -0.235267
71000 -0.238027
72000 -0.252731
73000 -0.250075
74000 -0.245232
75000 -0.230585
76000 -0.238499
77000 -0.242722
78000 -0.252776
79000 -0.248811
80000 -0.227046
81000 -0.228282
82000 -0.23137
83000 -0.236053
84000 -0.219589
85000 -0.219708
86000 -0.222587
87000 -0.21326
88000 -0.218001
89000 -0.216003
90000 -0.211272
91000 -0.216567
92000 -0.214881
93000 -0.223238
94000 -0.225373
95000 -0.211674
96000 -0.208765
97000 -0.216216
98000 -0.215333
99000 -0.225101
100000 -0.215066
101000 -0.224905
102000 -0.220738
103000 -0.224353
104000 -0.222266
105000 -0.22904
106000 -0.232286
107000 -0.232998
108000 -0.233288
109000 -0.233631
110000 -0.237753
111000 -0.241099
112000 -0.239605
113000 -0.242072
114000 -0.236766
115000 -0.232741
116000 -0.236179
117000 -0.234907
118000 -0.227294
119000 -0.239955
120000 -0.24059
121000 -0.234102
122000 -0.235551
123000 -0.234018
124000 -0.239735
125000 -0.240598
126000 -0.239722
127000 -0.242395
128000 -0.237928
129000 -0.237378
130000 -0.229419
131000 -0.236442
132000 -0.231813
133000 -0.231983
134000 -0.231466
135000 -0.22105
136000 -0.225628
137000 -0.222901
138000 -0.226988
139000 -0.231893
140000 -0.221911
141000 -0.223032
142000 -0.224296
143000 -0.224858
144000 -0.223072
145000 -0.231115
146000 -0.231259
147000 -0.228476
148000 -0.233458
149000 -0.234869
150000 -0.236775
151000 -0.218455
152000 -0.218089
153000 -0.231124
154000 -0.239114
155000 -0.227888
156000 -0.22309
157000 -0.221575
158000 -0.233286
159000 -0.236898
160000 -0.233997
161000 -0.230543
162000 -0.225489
163000 -0.232348
164000 -0.235532
165000 -0.232906
166000 -0.234094
167000 -0.233105
168000 -0.235737
169000 -0.231227
170000 -0.22585
171000 -0.229938
172000 -0.231277
173000 -0.231206
174000 -0.23173
175000 -0.227467
176000 -0.220979
177000 -0.215975
178000 -0.217715
179000 -0.220006
180000 -0.229342
181000 -0.225927
182000 -0.229187
183000 -0.239014
184000 -0.241894
185000 -0.237977
186000 -0.237524
187000 -0.23885
188000 -0.224442
189000 -0.220113
190000 -0.218246
191000 -0.229039
192000 -0.236207
193000 -0.226935
194000 -0.228706
195000 -0.209637
196000 -0.219584
197000 -0.222912
198000 -0.223529
199000 -0.214256
200000 -0.21707
201000 -0.225705
202000 -0.223341
