# Time-averaged data for fix myat1
# TimeStep v_total_energy
1000 1.27648
2000 1.27723
3000 1.2765
4000 1.27729
5000 1.27952
6000 1.27836
7000 1.27685
8000 1.27566
9000 1.27711
10000 1.27762
11000 1.27805
12000 1.27338
13000 1.2735
14000 1.27548
15000 1.27881
16000 1.27583
17000 1.27469
18000 1.27273
19000 1.27668
20000 1.27747
21000 1.27666
22000 1.27702
23000 1.27628
24000 1.27561
25000 1.27603
26000 1.27751
27000 1.27867
28000 1.27955
29000 1.27825
30000 1.2781
31000 1.27643
32000 1.27661
33000 1.27609
34000 1.27456
35000 1.27533
36000 1.27215
37000 1.27308
38000 1.2736
39000 1.27511
40000 1.27611
41000 1.27734
42000 1.27912
43000 1.27693
44000 1.27489
45000 1.27469
46000 1.2738
47000 1.27655
48000 1.27832
49000 1.27917
50000 1.28125
51000 1.28089
52000 1.27842
53000 1.2786
54000 1.27829
55000 1.27831
56000 1.2801
57000 1.28174
58000 1.28093
59000 1.28072
60000 1.27946
61000 1.27924
62000 1.27971
63000 1.27705
64000 1.27633
65000 1.27701
66000 1.2773
67000 1.28039
68000 1.278
69000 1.27611
70000 1.27683
71000 1.27879
72000 1.27692
73000 1.27646
74000 1.27749
75000 1.27937
76000 1.27853
77000 1.27848
78000 1.27726
79000 1.27845
80000 1.28036
81000 1.27883
82000 1.27867
83000 1.27811
84000 1.27896
85000 1.27892
86000 1.27943
87000 1.28045
88000 1.27816
89000 1.28074
90000 1.28004
91000 1.27897
92000 1.27887
93000 1.27921
94000 1.27758
95000 1.27702
96000 1.27833
97000 1.27764
98000 1.27744
99000 1.27519
100000 1.27877
101000 1.27641
102000 1.27784
103000 1.27604
104000 1.27659
105000 1.27547
106000 1.27716
107000 1.27575
108000 1.27692
109000 1.27629
110000 1.27583
111000 1.27572
112000 1.27697
113000 1.27959
114000 1.27932
115000 1.27914
116000 1.27597
117000 1.27688
118000 1.27743
119000 1.27608
120000 1.2755
121000 1.27655
122000 1.2757
123000 1.27588
124000 1.27545
125000 1.27429
126000 1.27604
127000 1.27403
128000 1.27243
129000 1.27487
130000 1.27555
131000 1.27707
132000 1.27561
133000 1.27811
134000 1.27737
135000 1.27935
136000 1.2791
137000 1.28
138000 1.27861
139000 1.27693
140000 1.27561
141000 1.27539
142000 1.27735
143000 1.27642
144000 1.27834
145000 1.27553
146000 1.27639
147000 1.27599
148000 1.27375
149000 1.27242
150000 1.27474
151000 1.27647
152000 1.27536
153000 1.27621
154000 1.27466
155000 1.27786
156000 1.27761
157000 1.27809
158000 1.27867
159000 1.27669
160000 1.27624
161000 1.2764
162000 1.27827
163000 1.27578
164000 1.27712
165000 1.27816
166000 1.27611
167000 1.27828
168000 1.27514
169000 1.27683
170000 1.27944
171000 1.27864
172000 1.27636
173000 1.27598
174000 1.27638
175000 1.2755
176000 1.27889
177000 1.27878
178000 1.27829
179000 1.27875
180000 1.2762
181000 1.27653
182000 1.27623
183000 1.27676
184000 1.27796
185000 1.27829
186000 1.27807
187000 1.27583
188000 1.27735
189000 1.27972
190000 1.27523
191000 1.27378
192000 1.27575
193000 1.27726
194000 1.27961
195000 1.27962
196000 1.27674
197000 1.27639
198000 1.27535
199000 1.27772
200000 1.2776
201000 1.27816
202000 1.2783
203000 1.27959
204000 1.27766
205000 1.27756
206000 1.27718
207000 1.27884
208000 1.27621
209000 1.27686
210000 1.27521
211000 1.27756
212000 1.27598
213000 1.27813
