# Time-averaged data for fix at2
# TimeStep v_L
6000 55.6732
7000 56.0732
8000 56.4732
9000 56.8732
10000 57.2732
11000 57.6732
12000 58.0732
13000 58.4732
14000 58.8732
15000 59.2732
16000 59.6732
17000 60.0732
18000 60.4732
19000 60.8732
20000 61.2732
21000 61.6732
22000 62.0732
23000 62.4732
24000 62.8732
25000 63.2732
26000 63.6732
27000 64.0732
28000 64.4732
29000 64.8732
30000 65.2732
31000 65.6732
32000 66.0732
33000 66.4732
34000 66.8732
35000 67.2732
36000 67.6732
37000 68.0732
38000 68.4732
39000 68.8732
40000 69.2732
41000 69.6732
42000 70.0732
43000 70.4732
44000 70.8732
45000 71.2732
46000 71.6732
47000 72.0732
48000 72.4732
49000 72.8732
50000 73.2732
51000 73.6732
52000 74.0732
53000 74.4732
54000 74.8732
55000 75.2732
56000 75.6732
57000 76.0732
58000 76.4732
59000 76.8732
60000 77.2732
61000 77.6732
62000 78.0732
63000 78.4732
64000 78.8732
65000 79.2732
66000 79.6732
67000 80.0732
68000 80.4732
69000 80.8732
70000 81.2732
71000 81.6732
72000 82.0732
73000 82.4732
74000 82.8732
75000 83.2732
76000 83.6732
77000 84.0732
78000 84.4732
79000 84.8732
80000 85.2732
81000 85.6732
82000 86.0732
83000 86.4732
84000 86.8732
85000 87.2732
86000 87.6732
87000 88.0732
88000 88.4732
89000 88.8732
90000 89.2732
91000 89.6732
92000 90.0732
93000 90.4732
94000 90.8732
95000 91.2732
96000 91.6732
97000 92.0732
98000 92.4732
99000 92.8732
100000 93.2732
101000 93.6732
102000 94.0732
103000 94.4732
104000 94.8732
105000 95.2732
