# Time-averaged data for fix at3
# TimeStep f_mysf1[3] f_mysf2[3]
6000 -139.748 143.526
7000 -242.464 239.611
8000 -334.742 333.334
9000 -430.878 433.876
10000 -529.067 530.894
11000 -622.597 622.316
12000 -720.783 724.325
13000 -819.949 814.877
14000 -912.732 911.925
15000 -1007.92 1009.24
16000 -1104.82 1106.28
17000 -1201.09 1198.21
18000 -1296.23 1295.11
19000 -1393.85 1395.55
20000 -1483.95 1484.76
21000 -1588.29 1584.56
22000 -1675.91 1682.16
23000 -1779.81 1776.78
24000 -1875.94 1872.55
25000 -1965.2 1969.15
26000 -2070.84 2071.43
27000 -2157.25 2157.68
28000 -2264.54 2261.76
29000 -2358.27 2356.86
30000 -2448.78 2454.37
31000 -2554.85 2554.26
32000 -2650.37 2644.13
33000 -2748.66 2751.95
34000 -2841.58 2848.01
35000 -2944.77 2939.27
36000 -3049.33 3041.47
37000 -3135.2 3138.87
38000 -3239.08 3247.21
39000 -3337.65 3333.06
40000 -3438.96 3440.39
41000 -3534.67 3537.05
42000 -3641.48 3638.41
43000 -3734.48 3731.47
44000 -3839.84 3840.76
45000 -3932.31 3938.42
46000 -4043.06 4038.69
47000 -4138.19 4134.18
48000 -4238.65 4241.53
49000 -4335.51 4341.93
50000 -4447.73 4443.81
51000 -4542.77 4539.22
52000 -4644.34 4647.25
53000 -4744.64 4747.45
54000 -4852 4850.36
55000 -4953.04 4948.83
56000 -5054.77 5056.23
57000 -5154.69 5157.45
58000 -5258.13 5262.6
59000 -5368.02 5360.92
60000 -5467.46 5464.84
61000 -5568.9 5574.37
62000 -5672.25 5674.95
63000 -5781.63 5779.69
64000 -5883.84 5878.96
65000 -5989.29 5987.87
66000 -6088.46 6094.17
67000 -6196.58 6198.15
68000 -6305.57 6300.18
69000 -6407.13 6406.03
70000 -6513.61 6512.86
71000 -6615.4 6621.68
72000 -6720.68 6722.89
73000 -6836.11 6829.53
74000 -6936.06 6932.9
75000 -7042.39 7045.4
76000 -7148.56 7150.4
77000 -7253.17 7258.47
78000 -7365.78 7359.65
79000 -7470.19 7468.7
80000 -7576.68 7577.37
81000 -7682.98 7684.37
82000 -7789.91 7797.4
83000 -7901.46 7894.49
84000 -8007.94 8006.36
85000 -8118.04 8114.41
86000 -8220.85 8223.62
87000 -8329.95 8337.29
88000 -8443.07 8439.68
89000 -8547.75 8547.68
90000 -8660.18 8654.94
91000 -8765.45 8767.27
92000 -8875.96 8875.84
93000 -8982.48 8989.66
94000 -9094.46 9091.39
95000 -9204.02 9202.62
96000 -9316.35 9314.77
97000 -9423.08 9420.87
98000 -9531.24 9534.13
99000 -9641.15 9646.61
100000 -9752.83 9751.44
101000 -9865.69 9862.44
102000 -9976.52 9972.53
103000 -10082.4 10082.1
104000 -10196.4 10197.8
105000 -10304.1 10308.3
