# Time-averaged data for fix at1
# TimeStep c_Tmid
1000 272.181
2000 300.845
3000 300.522
4000 299.128
5000 299.025
6000 299.324
7000 300.619
8000 300.343
9000 301.621
10000 300.847
11000 300.616
12000 299.901
13000 300.353
14000 299.971
15000 300.148
16000 300.205
17000 299.587
18000 300.127
19000 300.642
20000 300.816
21000 299.696
22000 299.986
23000 299.115
24000 300.793
25000 300.527
26000 300.731
27000 299.81
28000 300.062
29000 301.301
30000 299.766
31000 300.678
32000 300.703
33000 299.81
34000 300.257
35000 299.227
36000 300.295
37000 300.75
38000 299.646
39000 300.811
40000 299.784
41000 299.409
42000 300.625
43000 300.145
44000 299.407
45000 300.569
46000 299.755
47000 299.935
48000 299.943
49000 300.658
50000 300.026
51000 298.996
52000 300.304
53000 299.652
54000 300.453
55000 301.055
56000 299.301
57000 300.324
58000 300.151
59000 299.323
60000 300.601
61000 300.533
62000 299.869
63000 300.07
64000 301.646
65000 299.846
66000 300.774
67000 298.452
68000 299.578
69000 299.713
70000 300.956
71000 301.017
72000 300.556
73000 300.553
74000 299.993
75000 299.036
76000 299.738
77000 300.553
78000 299.691
79000 299.817
80000 299.677
81000 300.429
82000 300.448
83000 300.74
84000 301.375
85000 301.218
86000 300.73
87000 300.659
88000 301.898
89000 301.052
90000 300.208
91000 298.696
92000 299.915
93000 300.358
94000 300.204
95000 300.843
96000 300.257
97000 299.987
98000 300.504
99000 300.998
100000 299.918
101000 299.303
102000 299.059
103000 301.471
104000 301.097
105000 299.486
