# Chunk-averaged data for fix myac1 and group gH2O
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
100000 400 3648
  1 -39.9 0 0
  2 -39.7 0 0
  3 -39.5 0 0
  4 -39.3 0 0
  5 -39.1 0 0
  6 -38.9 0 0
  7 -38.7 0 0
  8 -38.5 0 0
  9 -38.3 0 0
  10 -38.1 0 0
  11 -37.9 0 0
  12 -37.7 0 0
  13 -37.5 0 0
  14 -37.3 0 0
  15 -37.1 0 0
  16 -36.9 0 0
  17 -36.7 0 0
  18 -36.5 0 0
  19 -36.3 0 0
  20 -36.1 0 0
  21 -35.9 0 0
  22 -35.7 0 0
  23 -35.5 0 0
  24 -35.3 0 0
  25 -35.1 0 0
  26 -34.9 0 0
  27 -34.7 0 0
  28 -34.5 0 0
  29 -34.3 0 0
  30 -34.1 0 0
  31 -33.9 0 0
  32 -33.7 0 0
  33 -33.5 0 0
  34 -33.3 0 0
  35 -33.1 0 0
  36 -32.9 0 0
  37 -32.7 0 0
  38 -32.5 0 0
  39 -32.3 0 0
  40 -32.1 0 0
  41 -31.9 0 0
  42 -31.7 0 0
  43 -31.5 0 0
  44 -31.3 0 0
  45 -31.1 0 0
  46 -30.9 0 0
  47 -30.7 0 0
  48 -30.5 0 0
  49 -30.3 0 0
  50 -30.1 0 0
  51 -29.9 0 0
  52 -29.7 0 0
  53 -29.5 0 0
  54 -29.3 0 0
  55 -29.1 0 0
  56 -28.9 0 0
  57 -28.7 0 0
  58 -28.5 0 0
  59 -28.3 0 0
  60 -28.1 0 0
  61 -27.9 0 0
  62 -27.7 0 0
  63 -27.5 0 0
  64 -27.3 0 0
  65 -27.1 0 0
  66 -26.9 0 0
  67 -26.7 0 0
  68 -26.5 0 0
  69 -26.3 0 0
  70 -26.1 0 0
  71 -25.9 0 0
  72 -25.7 0 0
  73 -25.5 0 0
  74 -25.3 0 0
  75 -25.1 0 0
  76 -24.9 0 0
  77 -24.7 0 0
  78 -24.5 0 0
  79 -24.3 0 0
  80 -24.1 0 0
  81 -23.9 0 0
  82 -23.7 0 0
  83 -23.5 0 0
  84 -23.3 0 0
  85 -23.1 0 0
  86 -22.9 0 0
  87 -22.7 0 0
  88 -22.5 0 0
  89 -22.3 0 0
  90 -22.1 0 0
  91 -21.9 0 0
  92 -21.7 0 0
  93 -21.5 0 0
  94 -21.3 0 0
  95 -21.1 0 0
  96 -20.9 0 0
  97 -20.7 0 0
  98 -20.5 0 0
  99 -20.3 0 0
  100 -20.1 0 0
  101 -19.9 0 0
  102 -19.7 0 0
  103 -19.5 0 0
  104 -19.3 0 0
  105 -19.1 0 0
  106 -18.9 0 0
  107 -18.7 0 0
  108 -18.5 0 0
  109 -18.3 0 0
  110 -18.1 0 0
  111 -17.9 0 0
  112 -17.7 0 0
  113 -17.5 0 0
  114 -17.3 0.0018 1.44215e-05
  115 -17.1 0.0418 0.000334898
  116 -16.9 0.3929 0.00314789
  117 -16.7 1.5884 0.0127261
  118 -16.5 4.8407 0.039105
  119 -16.3 13.406 0.14897
  120 -16.1 35.4886 1.02686
  121 -15.9 74.8614 3.88598
  122 -15.7 93.5552 5.84081
  123 -15.5 67.4475 4.30068
  124 -15.3 31.9367 1.83673
  125 -15.1 16.3719 0.615971
  126 -14.9 15.8705 0.271619
  127 -14.7 14.485 0.172914
  128 -14.5 9.0591 0.0971509
  129 -14.3 6.1639 0.063195
  130 -14.1 7.5349 0.071677
  131 -13.9 9.3113 0.109145
  132 -13.7 10.2489 0.265841
  133 -13.5 13.6023 0.745504
  134 -13.3 22.5793 1.60343
  135 -13.1 33.3035 2.31736
  136 -12.9 38.7974 2.33989
  137 -12.7 36.6864 1.77668
  138 -12.5 31.0337 1.23731
  139 -12.3 25.2105 0.910145
  140 -12.1 20.651 0.766612
  141 -11.9 17.5126 0.710367
  142 -11.7 15.6262 0.677094
  143 -11.5 15.1918 0.689307
  144 -11.3 15.338 0.72831
  145 -11.1 15.8537 0.773027
  146 -10.9 16.9319 0.833558
  147 -10.7 18.1959 0.895316
  148 -10.5 19.9294 0.996558
  149 -10.3 21.7027 1.07618
  150 -10.1 22.5507 1.10017
  151 -9.9 22.6942 1.09361
  152 -9.7 22.337 1.0658
  153 -9.5 21.749 1.0364
  154 -9.3 21.2691 1.01757
  155 -9.1 20.7507 0.982906
  156 -8.9 20.473 0.96301
  157 -8.7 20.0925 0.942719
  158 -8.5 19.3873 0.907649
  159 -8.3 19.3893 0.916245
  160 -8.1 19.2756 0.909066
  161 -7.9 19.1898 0.90229
  162 -7.7 19.5617 0.931889
  163 -7.5 19.9401 0.952413
  164 -7.3 19.9448 0.949877
  165 -7.1 20.1989 0.968404
  166 -6.9 20.5388 0.987333
  167 -6.7 20.5575 0.982037
  168 -6.5 20.677 0.989095
  169 -6.3 20.6726 0.987451
  170 -6.1 20.4834 0.980061
  171 -5.9 20.1413 0.967835
  172 -5.7 20.2092 0.966616
  173 -5.5 20.098 0.96215
  174 -5.3 19.829 0.942074
  175 -5.1 19.646 0.924795
  176 -4.9 19.5949 0.918249
  177 -4.7 19.7787 0.9291
  178 -4.5 20.0392 0.963097
  179 -4.3 19.9603 0.958056
  180 -4.1 20.0429 0.952653
  181 -3.9 20.2001 0.962944
  182 -3.7 20.4646 0.977122
  183 -3.5 20.7016 0.990007
  184 -3.3 20.7165 0.995346
  185 -3.1 20.6833 0.992851
  186 -2.9 20.5082 0.984478
  187 -2.7 20.1797 0.969382
  188 -2.5 19.7721 0.942106
  189 -2.3 19.7027 0.932625
  190 -2.1 19.7528 0.93709
  191 -1.9 19.6517 0.945944
  192 -1.7 19.7275 0.944871
  193 -1.5 19.9231 0.952074
  194 -1.3 19.9783 0.943008
  195 -1.1 20.3091 0.95183
  196 -0.9 20.3831 0.959239
  197 -0.7 20.3297 0.979092
  198 -0.5 20.3808 0.980216
  199 -0.3 20.4613 0.989595
  200 -0.1 20.5963 0.998791
  201 0.1 20.5973 0.981033
  202 0.3 20.4249 0.976375
  203 0.5 20.3954 0.984384
  204 0.7 20.0789 0.969337
  205 0.9 19.8896 0.940355
  206 1.1 20.0445 0.950819
  207 1.3 19.8948 0.943078
  208 1.5 19.7955 0.942735
  209 1.7 19.7134 0.938574
  210 1.9 19.6831 0.942764
  211 2.1 19.8633 0.952346
  212 2.3 20.1149 0.951585
  213 2.5 20.3119 0.974147
  214 2.7 20.2598 0.967224
  215 2.9 20.2039 0.951619
  216 3.1 20.4932 0.971846
  217 3.3 20.5102 0.973567
  218 3.5 20.3409 0.982768
  219 3.7 20.2158 0.979776
  220 3.9 20.2073 0.971093
  221 4.1 20.2187 0.966144
  222 4.3 20.0327 0.955836
  223 4.5 19.8185 0.934876
  224 4.7 19.8165 0.935348
  225 4.9 19.7507 0.936549
  226 5.1 19.9288 0.953061
  227 5.3 19.9484 0.953635
  228 5.5 19.9185 0.939419
  229 5.7 20.1774 0.94844
  230 5.9 20.2115 0.957757
  231 6.1 20.2539 0.96552
  232 6.3 20.2563 0.96312
  233 6.5 20.4041 0.97118
  234 6.7 20.6064 0.987588
  235 6.9 20.5541 0.979877
  236 7.1 20.5994 0.998447
  237 7.3 20.2885 0.994919
  238 7.5 20.0609 0.965022
  239 7.7 19.8226 0.93075
  240 7.9 19.5395 0.918497
  241 8.1 19.1137 0.898141
  242 8.3 19.1622 0.89766
  243 8.5 19.1886 0.900314
  244 8.7 19.3624 0.910548
  245 8.9 20.0103 0.945421
  246 9.1 20.5557 0.960348
  247 9.3 21.2298 1.00913
  248 9.5 22.0251 1.06549
  249 9.7 22.6325 1.09654
  250 9.9 22.9589 1.11753
  251 10.1 22.5581 1.12224
  252 10.3 21.3629 1.06993
  253 10.5 19.858 1.01062
  254 10.7 17.9705 0.910728
  255 10.9 16.448 0.801429
  256 11.1 15.4771 0.724504
  257 11.3 14.9219 0.678339
  258 11.5 14.9577 0.645416
  259 11.7 15.5726 0.647019
  260 11.9 17.2345 0.677504
  261 12.1 20.5384 0.765233
  262 12.3 25.3705 0.95144
  263 12.5 31.616 1.31855
  264 12.7 37.625 1.89124
  265 12.9 39.3024 2.42892
  266 13.1 32.5137 2.28523
  267 13.3 21.0519 1.45105
  268 13.5 12.8803 0.613437
  269 13.7 10.6193 0.213627
  270 13.9 9.8807 0.0995869
  271 14.1 7.68 0.0677039
