# Time-averaged data for fix myat1
# TimeStep v_xymsd
1000 0.843524
2000 2.21438
3000 3.62585
4000 4.87837
5000 6.2969
6000 7.31445
7000 8.45822
8000 9.98368
9000 11.2792
10000 12.7267
11000 14.147
12000 15.3871
13000 16.8795
14000 17.9984
15000 19.4204
16000 20.9518
17000 22.4942
18000 23.782
19000 25.0693
20000 26.1523
21000 27.3485
22000 28.1863
23000 29.6297
24000 30.8749
25000 32.066
26000 33.001
27000 34.3508
28000 35.6119
29000 37.6097
30000 38.8312
31000 40.4378
32000 41.7924
33000 42.9227
34000 44.3627
35000 45.8645
36000 46.5886
37000 47.4469
38000 48.4081
39000 49.5039
40000 50.1491
41000 51.4731
42000 52.8327
43000 54.5214
44000 55.3387
45000 56.0051
46000 56.7107
47000 57.0565
48000 58.064
49000 59.1513
50000 60.2286
51000 61.8434
52000 63.6051
53000 65.4311
54000 67.4454
55000 69.3526
56000 70.5781
57000 72.3954
58000 73.371
59000 73.8937
60000 75.3847
61000 76.4566
62000 77.8346
63000 79.6147
64000 81.6405
65000 83.9727
66000 85.9735
67000 87.6898
68000 89.1777
69000 91.7557
70000 93.5973
71000 95.5923
72000 97.9346
73000 99.5769
74000 100.591
75000 102.052
76000 102.367
77000 103.074
78000 103.807
79000 105.161
80000 107.808
81000 109.426
82000 110.462
83000 111.822
84000 112.316
85000 113.999
86000 115.323
87000 116.79
88000 118.062
89000 118.686
90000 119.005
91000 119.881
92000 121.715
93000 122.479
94000 125.709
95000 128.99
96000 130.346
97000 130.234
98000 130.712
99000 132.197
100000 133.33
