# Time-averaged data for fix myat1
# TimeStep v_n_center1 v_n_center2
1000 26.64 31.26
2000 25 32
3000 25 32
4000 23.51 32.4
5000 23 33
6000 23 33
7000 23 33
8000 23 33
9000 22.83 33
10000 22 33
11000 21.16 33.05
12000 21 34
13000 20.23 34.97
14000 20.1 35
15000 19.74 35.82
16000 18.04 36.55
17000 18 37
18000 18 37
19000 18 37.4
20000 17.78 38
21000 17 38
22000 17 38
23000 17 38
24000 17 38
25000 16.89 38
26000 16 38
27000 16 38
28000 16 38
29000 16 38
30000 16 38
31000 16 38.7
32000 16.06 39
33000 16 39
34000 16 39
35000 15.07 39
36000 15 39
37000 15 39
38000 15 39
39000 15 39.13
40000 15 40
41000 15 40
42000 15 40
43000 15 40
44000 15 40.5
45000 14.65 41
46000 14 41.15
47000 14 42
48000 14 42
49000 14 42
50000 14 42
51000 13.33 42.41
52000 13 43
53000 13 43
54000 13 43
55000 13 43
56000 12.81 43
57000 12 43
58000 12 43
59000 12 43
60000 12 43
61000 12 43
62000 12 43
63000 12 43
64000 12 43
65000 11.16 43
66000 11 43
67000 11 43
68000 11 43
69000 11 43
70000 11 43
71000 11 43
72000 11 43
73000 11 43
74000 11 43
75000 11 43
76000 11 43
77000 11 43
78000 11 43
79000 11 43.08
80000 11 44
81000 11 44
82000 11 44.54
83000 11 45
84000 11 45
85000 11 45
86000 11 45
87000 11 45.4
88000 10.54 46
89000 10 46
90000 10 46
91000 10 46
92000 10 46
93000 10 46
94000 10 46
95000 10 46
96000 10 46
97000 10 46.17
98000 10 47
99000 10 47
100000 10 47
101000 10 47
102000 10 47
103000 10 47
104000 10 47.96
105000 10 48
106000 10 48
107000 10 48
108000 10 48
109000 10 48
110000 10 48
111000 10 48
112000 10 48
113000 10 48
114000 10 48
115000 10 48
116000 10 48
117000 10 48
118000 10 48
119000 10 48
120000 10 48
121000 10 48
122000 10 48
123000 10 48
124000 10 48
125000 10 48
126000 10 48
127000 10 48
128000 10 48
129000 10 48
130000 10 48
131000 10 48
132000 10 48
133000 10 48
134000 10 48
135000 10 48
136000 10 48
137000 10 48
138000 10 48
139000 10 48
140000 10 48
141000 10 48
142000 10 48
143000 10 48
144000 10 48
145000 10 48
146000 10 48
147000 10 48
148000 10 48
149000 10 48
150000 10 48
151000 10 48
152000 10 48
153000 10 48
154000 10 48
155000 10 48
156000 9.4 48
157000 9 48
158000 9 48
159000 9 48
160000 9 48
161000 9 48
162000 9 48
163000 9 48
