# Chunk-averaged data for fix myac and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
10000 50 60.00000000000001
  1 -24.5 2.113 0.004226
  2 -23.5 1.474 0.002948
  3 -22.5 2.244 0.004488
  4 -21.5 1.153 0.002306
  5 -20.5 0.461 0.000922
  6 -19.5 0.54 0.00108
  7 -18.5 0.925 0.00185
  8 -17.5 1.642 0.003284
  9 -16.5 1.4 0.0028
  10 -15.5 0.526 0.001052
  11 -14.5 1.594 0.003188
  12 -13.5 1.726 0.003452
  13 -12.5 1.017 0.002034
  14 -11.5 1.112 0.002224
  15 -10.5 0.899 0.001798
  16 -9.5 1.006 0.002012
  17 -8.5 1.896 0.003792
  18 -7.5 2.581 0.005162
  19 -6.5 1.493 0.002986
  20 -5.5 1.451 0.002902
  21 -4.5 0.515 0.00103
  22 -3.5 0.183 0.000366
  23 -2.5 0 0
  24 -1.5 0.055 0.00011
  25 -0.5 0.369 0.000738
  26 0.5 0.7 0.0014
  27 1.5 1.057 0.002114
  28 2.5 0.925 0.00185
  29 3.5 0.205 0.00041
  30 4.5 0.375 0.00075
  31 5.5 1.188 0.002376
  32 6.5 1.855 0.00371
  33 7.5 1.516 0.003032
  34 8.5 1.661 0.003322
  35 9.5 1.069 0.002138
  36 10.5 1.198 0.002396
  37 11.5 1.759 0.003518
  38 12.5 2.122 0.004244
  39 13.5 1.335 0.00267
  40 14.5 1.338 0.002676
  41 15.5 0.654 0.001308
  42 16.5 1.383 0.002766
  43 17.5 1.222 0.002444
  44 18.5 0.496 0.000992
  45 19.5 1.912 0.003824
  46 20.5 1.702 0.003404
  47 21.5 0.649 0.001298
  48 22.5 1.06 0.00212
  49 23.5 2.253 0.004506
  50 24.5 1.991 0.003982
20000 50 60.000000000000014
  1 -24.5 1.165 0.00233
  2 -23.5 1.795 0.00359
  3 -22.5 2.277 0.004554
  4 -21.5 0.901 0.001802
  5 -20.5 0.713 0.001426
  6 -19.5 1.103 0.002206
  7 -18.5 1.214 0.002428
  8 -17.5 1.322 0.002644
  9 -16.5 0.335 0.00067
  10 -15.5 0.379 0.000758
  11 -14.5 1.998 0.003996
  12 -13.5 2.509 0.005018
  13 -12.5 1.099 0.002198
  14 -11.5 0.689 0.001378
  15 -10.5 0.888 0.001776
  16 -9.5 0.792 0.001584
  17 -8.5 0.932 0.001864
  18 -7.5 2.257 0.004514
  19 -6.5 2.89 0.00578
  20 -5.5 2.245 0.00449
  21 -4.5 0.073 0.000146
  22 -3.5 0 0
  23 -2.5 0 0
  24 -1.5 0.184 0.000368
  25 -0.5 0.639 0.001278
  26 0.5 1.253 0.002506
  27 1.5 0.868 0.001736
  28 2.5 0.056 0.000112
  29 3.5 0 0
  30 4.5 0.027 5.4e-05
  31 5.5 1.213 0.002426
  32 6.5 2.049 0.004098
  33 7.5 2.105 0.00421
  34 8.5 0.761 0.001522
  35 9.5 1.177 0.002354
  36 10.5 1.146 0.002292
  37 11.5 1.081 0.002162
  38 12.5 1.394 0.002788
  39 13.5 2.06 0.00412
  40 14.5 2.097 0.004194
  41 15.5 0.558 0.001116
  42 16.5 1.331 0.002662
  43 17.5 1.769 0.003538
  44 18.5 2.288 0.004576
  45 19.5 1.469 0.002938
  46 20.5 1.252 0.002504
  47 21.5 1.625 0.00325
  48 22.5 1.016 0.002032
  49 23.5 1.843 0.003686
  50 24.5 1.163 0.002326
30000 50 59.99999999999998
  1 -24.5 2.678 0.005356
  2 -23.5 1.89 0.00378
  3 -22.5 1.262 0.002524
  4 -21.5 1.602 0.003204
  5 -20.5 1.178 0.002356
  6 -19.5 1.252 0.002504
  7 -18.5 1.327 0.002654
  8 -17.5 1.559 0.003118
  9 -16.5 0.613 0.001226
  10 -15.5 0.732 0.001464
  11 -14.5 0.736 0.001472
  12 -13.5 2.285 0.00457
  13 -12.5 2.578 0.005156
